8011,小秋想利用一架已调好的天平、烧杯、溢水杯和水测出一块雨花石的密度请把小秋的实验步骤补充完整（1用天平测出雨花石的质量m1；（2用天平测出空烧杯的质量m2；（3在溢水杯中将雨花石轻轻放入溢水杯中浸没并同时用烧杯收集从溢水杯中溢出的水用天平测出烧杯和水的总质量m3；（4设水的密度为ρ则此雨花石的密度表达式为ρ石=（用m1、m2、m3、ρ表示） 装满水
8013,一辆汽车从静止开始匀加速直线开出然后保持匀速直线运动最后匀减速直线运动直到停止从汽车开始运动起计时下表给出了某些时刻汽车的瞬时速度根据表中的数据求汽车从静止开始直到停止通过的总位移大小时刻(s)1.02.03.05.07.09.510.5速度(m/s)3.06.09.012129.03.0 96m
8014,一个体积为0.02m3的物体浸没在水中且不与容器底部紧密接触求所受到的浮力大小（g=10N/kg） F=ρ水V排g=1×103kg/m3×0.02m3×10N/kg=200N
8017,实验桌上有两个完全相同的木块A4纸一张钩码若干小明做了如下实验：他将A4纸折叠两次用木块把折叠后的A4纸的两端支托起来在纸上放一个钩码发现纸能承受一个钩码的压力但不能承受两个钩码的压力；小明将A4纸折叠三次同样用木块把折叠后的A4纸的两端支托起来在纸上放两个钩码发现纸能承受两个钩码的压力请根据小明的实验提出一个可以探究的科学问题 纸承受的压力与纸的折叠次数有关吗
8019,小明同学用50N的水平向右的推力推放在水平地面上的箱子但是没有推动此时箱子是否受摩擦力的作用？若受摩擦力是哪种摩擦力？该摩擦力的大小和方向如何 受摩擦力作用；是静摩擦力；大小为50N；方向水平向左
8022,如图所示用力挤压大塑料瓶的侧面观察到漂浮在水面上的小瓶（浮沉子）下沉松开手后小瓶重新浮上水面请用相关知识来解释小瓶上浮和下沉的原因 小瓶上有小孔使劲挤压瓶子时大瓶中的水被挤进小瓶小瓶子排开水的体积变小浮力减小小于重力便下沉；松手后小瓶中的水又回到大瓶小瓶子排开水的体积变大浮力变大浮力大于重力小瓶上浮
8024,小红用电压表、电流表、滑动变阻器、导线、开关及干电池等实验器材测量额定电压为2.5V小灯泡L的额定功率（1小红连接的部分实验电路如图17甲所示请你添加一条导线将实验电路补充完整（2当调节滑动变阻器使电压表示数为2.5V时电流表的示数如图17乙所示则可知通过小灯泡L的电流为A小灯泡L的额定功率为W 0.30.75
8026,对农民来讲农作物的种子中混有一些杂草的种子是一件很头痛的事情但是这两种种子在外表上是不同的：农作物的种子比较光滑不易吸附小颗粒物；而杂草种子表面有许多绒毛能够吸附靠近它的小颗粒物当然也能粘在走过的动物身上因此它可以广为传播现在给你一些混有杂草种子的农作物种子给你一块磁铁和一些铁屑请你设计一个实验替农民将其中的杂草种子分离出来 可将铁屑撒在种子中并搅拌均匀使铁屑吸附在杂草种子上然后用磁铁将铁屑和杂草种子一起从混合种子中吸出来原因是磁铁具有吸铁性所以可以吸引附有铁屑的杂草种子但不吸引农作物种子
8027,如图所示在一个杯子中盛满水用硬塑料片把杯口盖严再用手按住塑料片把杯子倒过来塑料片不会下落这个现象可以表明的存在 大气压(力)
8028,辰辰同学站在匀速上升的电梯里她受到的支持力重力（选填“等于”或“不等于”） 等于
8031,物理老师演示了一个实验：把一块普通的豆腐放在水平桌面上再在豆腐上平放一块质量较小的薄瓷砖用一个小铁锤用力向瓷砖砸去结果瓷砖碎了豆腐却没碎请你运用物理知识解释为什么瓷砖碎了豆腐没碎 铁锤和瓷砖的接触面积小压强大；豆腐和瓷砖的接触面积大压强小
